country_code3,population,latitude,longitude
AFG,37172386,33,65
AGO,30809762,-11.2027,17.8739
ALB,2866376,41.1533,20.1683
AND,77006,42.5063,1.5218
ARE,9630959,24,54
ARG,44494502,-38.4161,-63.6167
ARM,2951776,40.0691,45.0382
ATG,96286,17.0608,-61.7964
AUS,24982688,-31.9961875,141.2327875
AUT,8840521,47.5162,14.5501
AZE,9939800,40.1431,47.5769
BDI,11175378,-3.3731,29.9189
BEL,11433256,50.8333,4
BEN,11485048,9.3077,2.3158
BFA,19751535,12.2383,-1.5616
BGD,161356039,23.685,90.3563
BGR,7025037,42.7339,25.4858
BHR,1569439,26.0275,50.55
BHS,385640,25.034300000000002,-77.3963
BIH,3323929,43.9159,17.6791
BLR,9483499,53.7098,27.9534
BLZ,383071,13.1939,-59.5432
BOL,11353142,-17,-65
BRA,209469333,-14.235,-51.9253
BRB,286641,13.1939,-59.5432
BRN,428962,4.5,114.6666667
BTN,754394,27.5142,90.4336
BWA,2254126,-22.3285,24.6849
CAF,4666377,6.6111,20.9394
CAN,37057765,44.78404667,-82.50859333
CHE,8513227,46.8182,8.2275
CHL,18729160,-35.6751,-71.543
CHN,1392730000,32.82838485,111.6490818
CIV,25069229,8,-5
CMR,25216237,3.848,11.5021
COD,84068091,0,25
COG,5244363,-1,15
COL,49648685,4.5709,-74.2973
COM,832322,-12.1666667,44.25
CPV,543767,16,-24
CRI,4999441,9.7489,-83.7534
CUB,11338138,22,-80
CYP,1189265,35.1264,33.4299
CZE,10629928,49.8037633,15.4749126
DEU,82905782,51,9
DJI,958920,11.8251,42.5903
DMA,71625,15.415,-61.371
DNK,5793636,56.26,9.5
DOM,10627165,18.7357,-70.1627
DZA,42228429,28.0339,1.6596
ECU,17084357,-1.8312,-78.1834
EGY,98423595,26,30
ERI,5750433,15.1794,39.7823
ESP,46796540,40,-4
EST,1321977,58.5953,25.0136
ETH,109224559,9.145,40.4897
FIN,5515525,64,26
FJI,883483,-17.7134,178.065
FRA,66977107,46.23,2.21
GAB,2119275,-0.8037,11.6094
GBR,66460344,55.3781,-3.436
GEO,3726549,42.3154,43.3569
GHA,29767108,7.9465,-1.0232
GIN,12414318,9.9456,-9.6966
GMB,2280102,13.4432,-15.3101
GNB,1874309,11.8037,-15.1804
GNQ,1308974,1.5,10
GRC,10731726,39.0742,21.8243
GRD,111454,12.1165,-61.679
GTM,17247807,15.7835,-90.2308
GUY,779004,5,-58.75
HND,9587522,15.2,-86.2419
HRV,4087843,45.1,15.2
HTI,11123176,18.9712,-72.2852
HUN,9775564,47.1625,19.5033
IDN,267663435,-0.7893,113.9213
IND,1352617328,21,78
IRL,4867309,53.1424,-7.6921
IRN,81800269,32,53
IRQ,38433600,33,44
ISL,352721,64.9631,-19.0208
ISR,8882800,31,35
ITA,60421760,43,12
JAM,2934855,18.1096,-77.2975
JOR,9956011,31.24,36.51
JPN,126529100,36,138
KAZ,18272430,48.0196,66.9237
KEN,51393010,-0.0236,37.9062
KGZ,6322800,41.2044,74.7661
KHM,16249798,11.55,104.9167
KNA,52441,17.357822,-62.782998
KOR,51606633,37,127.5
KWT,4137309,29.5,47.75
LAO,7061507,18,105
LBN,6848925,33.8547,35.8623
LBR,4818977,6.4281,-9.4295
LBY,6678567,25,17
LCA,181889,13.9094,-60.9789
LKA,21670000,7,81
LSO,2108132,-29.5,28.5
LTU,2801543,55.1694,23.8813
LUX,607950,49.8153,6.1296
LVA,1927174,56.8796,24.6032
MAR,36029138,31.7917,-7.0926
MDA,2706049,47,29
MDG,26262368,-18.7669,46.8691
MDV,515696,3.2028,73.2207
MEX,126190788,23.6345,-102.5528
MKD,2082958,41.833,22
MLI,19077690,17.570692,-3.996166
MLT,484630,35.9375,14.3754
MMR,53708395,21.9162,95.956
MNE,622227,42.5,19.3
MNG,3170208,46.8625,103.8467
MOZ,29495962,-18.665695,35.529562
MRT,4403319,21.0079,10.9408
MUS,1265303,-20.2,57.5
MWI,18143315,-13.254308,34.301525
MYS,31528585,2.5,112.5
"NAM",2448255,-22.9576,18.4904
NER,22442948,17.6078,8.0817
NGA,195874740,9.082,8.6753
NIC,6465513,12.8654,-85.2072
NLD,17231624,52.1326,5.2913
NOR,5311916,60.472,8.4689
NPL,28087871,28.1667,84.25
NZL,4841000,-40.9006,174.886
OMN,4829483,21,57
PAK,212215030,30.3753,69.3451
PAN,4176873,8.538,-80.7821
PER,31989256,-9.19,-75.0152
PHL,106651922,13,122
PNG,8606316,-6.315,143.9555
POL,37974750,51.9194,19.1451
PRT,10283822,39.3999,-8.2245
PRY,6956071,-23.4425,-58.4438
QAT,2781677,25.3548,51.1839
ROU,19466145,45.9432,24.9668
RUS,144478050,60,100
RWA,12301939,-1.9403,29.8739
SAU,33699947,24,45
SDN,41801533,12.8628,30.2176
SEN,15854360,14.4974,-14.4524
SGP,5638676,1.2833,103.8333
SLE,7650154,8.460555,-11.779889
SLV,6420744,13.7942,-88.8965
SOM,15008154,5.1521,46.1996
SRB,6982604,44.0165,21.0059
STP,211028,0.18636,6.613081
SUR,575991,3.9193,-56.0278
SVK,5446771,48.669,19.699
SVN,2073894,46.1512,14.9955
SWE,10175214,63,16
SWZ,1136191,-26.5,31.5
SYC,96762,-4.6796,55.492
SYR,16906283,35,38
TCD,15477751,15.4542,18.7322
TGO,7889094,8.6195,0.8248
THA,69428524,15,101
TJK,9100837,39,71
TLS,1267972,-8.874217,125.727539
TTO,1389858,10.6918,-61.2225
TUN,11565204,34,9
TUR,82319724,38.9637,35.2433
TZA,56318348,-6,35
UGA,42723139,1,32
UKR,44622516,48.3794,31.1656
URY,3449299,-32.5228,-55.7658
USA,326687501,38,-97
UZB,32955400,41.3775,64.5853
VCT,110210,12.9843,-61.2872
VEN,28870195,8,-66
VNM,95540395,16.1666667,107.8333333
YEM,28498687,15.552727,48.516388
ZAF,57779622,-30.5595,22.9375
ZMB,17351822,-15.4167,28.2833
ZWE,14439018,-20,30
